from_node,to_node,length_m,highway,name,road_importance,connectivity
3735847368,3735847369,72.30887119256427,secondary,Shankar Chowk Road,3,9
3735847369,6649930270,7.074402256620542,service,unnamed,1,10
3735847369,266586002,76.4564164737208,secondary,Shankar Chowk Road,3,9
3735847369,7257851866,155.65310425016077,service,unnamed,1,12
10012516899,6539370078,105.20813893984477,service,unnamed,1,8
10012516903,10012516905,28.573512541965083,service,unnamed,1,10
10012516904,10012516905,103.73294883468004,service,unnamed,1,10
414351844,1564014083,140.89101479231647,tertiary,Jwala Mill Marg,2,11
414351844,266586113,21.447156965869528,tertiary,Jwala Mill Marg,2,12
414351844,11002861919,37.26185791147043,residential,unnamed,1,12
6723402651,11502109251,10.081666939508432,service,unnamed,1,10
6723402651,3225859831,33.55565858545877,service,unnamed,1,11
6723402652,6723402653,10.210337020051394,service,unnamed,1,13
6723402652,11502109248,5.383780613164299,service,unnamed,1,14
6723402652,6723402650,18.09967142361357,service,unnamed,1,9
6723402652,6723402651,15.415159706385364,service,unnamed,1,12
6723402653,6723402649,18.96004002964828,service,unnamed,1,8
6723402653,6723402652,10.210337020051394,service,unnamed,1,13
6723402653,11502109237,111.2331324213501,service,unnamed,1,12
10988986891,10988993069,40.49787702299815,service,unnamed,1,8
10988986891,266586026,124.77512081314845,service,unnamed,1,9
11502314008,11502116248,12.41799884539298,service,unnamed,1,12
11502314008,414357453,37.34217752921305,service,unnamed,1,12
11502314008,11502314013,84.8890785922251,service,unnamed,1,12
11502314013,414357454,5.590500423436184,service,unnamed,1,12
11502314013,11502314020,18.844963376348357,service,unnamed,1,12
11502314013,11502314008,84.8890785922251,service,unnamed,1,12
6649930270,3735847369,7.074402256620542,service,unnamed,1,10
6649930270,6480871155,88.17644504385146,secondary,Shankar Chowk Road,3,8
10882769441,4203710493,42.13831401417426,service,unnamed,1,8
11502314018,11502193099,9.512537728475817,service,unnamed,1,12
11502314018,414357453,11.381892640973597,service,unnamed,1,12
11502314018,11502314017,11.115020749006842,footway,unnamed,1,8
10012516900,10012516902,29.40446909503851,service,unnamed,1,10
10012516901,10012516902,99.85829386313549,service,unnamed,1,10
10012516902,10012516901,99.85829386313549,service,unnamed,1,10
10012516902,10012516900,29.40446909503851,service,unnamed,1,10
10012516902,10012516905,15.223690824711657,service,unnamed,1,16
10012516902,10012516909,16.101261430716296,service,unnamed,1,14
10976543268,4196528044,94.53840544569374,service,unnamed,1,6
10012516905,6539370078,14.394826280011632,service,unnamed,1,14
10012516905,10012516904,103.73294883468004,service,unnamed,1,10
10012516905,10012516903,28.573512541965083,service,unnamed,1,10
10012516905,10012516902,15.223690824711657,service,unnamed,1,16
10012516906,10012516907,33.26483907999947,service,unnamed,1,8
10012516906,10012516909,21.11846187273131,service,unnamed,1,12
10012516906,6539370067,68.36843670212211,service,unnamed,1,12
10012516907,10012516906,33.26483907999947,service,unnamed,1,8
10012516908,10012516909,31.542007324526196,service,unnamed,1,8
10012516909,10012516908,31.542007324526196,service,unnamed,1,8
10012516909,10012516902,16.101261430716296,service,unnamed,1,14
10012516909,10012516906,21.11846187273131,service,unnamed,1,12
9914122796,4202142605,30.114337630201184,service,unnamed,1,8
11502109236,6723402665,41.10816200236101,service,unnamed,1,11
11502109236,11502196683,0.6119025038474671,service,unnamed,1,12
11502109236,11502109237,43.884592078429556,service,unnamed,1,12
11502109237,11502109236,43.884592078429556,service,unnamed,1,12
11502109237,6723402653,111.2331324213501,service,unnamed,1,12
11502109237,6723402665,15.774656348751753,service,unnamed,1,11
11502109238,11502196683,3.66334019327904,service,unnamed,1,12
11502109238,6723402668,57.03665813894143,service,unnamed,1,12
11502109238,11502109248,101.38407598929562,service,unnamed,1,13
11502109248,6723402652,5.383780613164299,service,unnamed,1,14
11502109248,11502109249,9.414652291041405,service,unnamed,1,9
11502109248,11502109238,101.38407598929564,service,unnamed,1,13
11502109249,11502109248,9.414652291041405,service,unnamed,1,9
11502109251,6723402651,10.081666939508432,service,unnamed,1,10
11502109251,1987622489,59.58202349729509,service,unnamed,1,11
11502109251,11502109248,15.687746971689563,service,unnamed,1,12
2686108235,13974256566,4.509242337315289,service,unnamed,1,12
2686108235,2686108242,199.31525129515603,"['service', 'footway']",unnamed,1,12
2686108235,12919086435,63.14298923163438,service,unnamed,1,10
2686108242,2334514826,26.983902729002192,service,unnamed,1,10
2686108242,6322678076,102.4350769155233,service,unnamed,1,10
2686108242,2686108235,199.31525129515606,"['service', 'footway']",unnamed,1,12
10989273700,9913894234,84.64381392309843,service,unnamed,1,12
10989273700,9913894237,633.2933623453623,service,unnamed,1,12
10989273700,10989273701,29.991182886973725,service,unnamed,1,10
10989273701,10989273700,29.991182886973725,service,unnamed,1,10
10989273701,6322697196,171.8883860250994,secondary,Shankar Chowk Road,3,7
3046318706,3225859836,34.04704419939284,footway,unnamed,1,18
3046318706,1408792540,79.90138214028535,unknown,unnamed,1,20
3046318706,1408792540,79.90622510866027,footway,unnamed,1,20
3046318706,1408792516,58.3501744785592,unknown,unnamed,1,20
3046318706,1408792482,27.291412333286132,footway,unnamed,1,16
4145980061,249223913,64.38220481282403,tertiary,Jacaranda Marg,2,14
4145980061,1374550416,83.85531831056898,tertiary,Jacaranda Marg,2,12
4145980061,1374530064,71.21996264285205,residential,unnamed,1,12
6639608480,6639656685,24.25001185407445,tertiary,unnamed,2,6
11502199509,11502199517,27.949072750764813,service,unnamed,1,12
11502199509,535297603,8.23011321102299,service,unnamed,1,10
11502199509,11502199514,33.77162912588058,service,unnamed,1,8
11502199517,11502196849,37.14697979548347,service,unnamed,1,12
11502199517,11502199509,27.949072750764813,service,unnamed,1,12
11502199517,11502199516,15.714808184219628,service,unnamed,1,8
11502199516,11502199517,15.714808184219628,service,unnamed,1,8
11502199514,11502199509,33.77162912588058,service,unnamed,1,8
4138651468,414356444,22.716908836226324,residential,unnamed,1,12
4138651468,4146080485,55.975479574049125,residential,unnamed,1,12
4138651468,4146080479,96.3794085594279,residential,unnamed,1,12
4196533015,535297615,20.43937804596994,residential,unnamed,1,8
4196533015,4196533021,166.62169501467997,service,unnamed,1,8
4196533021,6093474195,8.525339661610968,residential,unnamed,1,7
4196533021,4196533015,166.62169501467997,service,unnamed,1,8
12114627082,12114627094,34.35135300399712,service,unnamed,1,12
12114627082,12114627094,116.45699163556351,service,unnamed,1,12
12114627082,12114627080,10.439750882015478,service,unnamed,1,10
10882728746,4202142626,28.77282425212318,residential,unnamed,1,8
10882728747,4203730289,27.002275892791356,service,unnamed,1,8
4196533036,12100496070,58.420274629387656,service,unnamed,1,8
4196533036,6192903180,160.39402250667115,service,unnamed,1,14
4196533036,12105551278,31.803283550260662,service,unnamed,1,8
7479404864,13967298979,41.50244974059497,tertiary,unnamed,2,7
7479404864,13245943532,20.319613327413144,footway,unnamed,1,10
6865208219,6865208220,60.889254322230016,residential,unnamed,1,12
6865208219,6865208227,61.46521470651147,residential,unnamed,1,12
6865208219,2721037502,65.27109588381518,residential,unnamed,1,14
6865208220,6865208219,60.889254322230016,residential,unnamed,1,12
6865208220,6865208221,61.568014556915934,residential,unnamed,1,12
6865208220,1376471702,532.8862833412222,residential,unnamed,1,8
6865208221,6865208227,61.519068241818424,residential,Gulmohar Marg,1,12
6865208221,6865208220,61.568014556915934,residential,unnamed,1,12
6865208221,6435697499,1098.5857228943316,residential,Gulmohar Marg,1,8
6865208225,6865208227,37.5046505466609,residential,Gulmohar Marg,1,8
6865208227,6865208221,61.519068241818424,residential,Gulmohar Marg,1,12
6865208227,6865208219,61.46521470651147,residential,unnamed,1,12
6865208227,6865208225,37.5046505466609,residential,Gulmohar Marg,1,8
414352332,4135484362,30.124856271273416,residential,unnamed,1,14
414352332,4135552591,88.1144690284531,residential,unnamed,1,14
414352332,4135552606,66.00469966191565,residential,unnamed,1,14
414352332,6556589435,65.7099121000897,residential,unnamed,1,14
414352335,4202142604,20.025524508649546,residential,unnamed,1,12
414352335,4202142601,36.990847902369964,residential,unnamed,1,12
414352335,4202142605,25.704599274472233,residential,unnamed,1,12
10882761705,4202142620,22.10000534793625,service,unnamed,1,6
10882761706,4202142615,21.62957989753919,service,unnamed,1,8
11021370367,9911436692,45.68166586261462,service,unnamed,1,8
11502109742,11502351043,6.571302837642699,service,unnamed,1,12
11502109742,414357454,13.64219924814859,service,unnamed,1,12
11502109742,11502109744,12.685015385700936,service,unnamed,1,12
11502109744,11502109743,9.265806958187826,service,unnamed,1,8
11502109744,11502109745,12.52081051710722,service,unnamed,1,8
11502109744,11502109742,12.685015385700936,service,unnamed,1,12
11502109743,11502109744,9.265806958187826,service,unnamed,1,8
11502109745,11502109744,12.52081051710722,service,unnamed,1,8
8096670781,4567599947,11.974080382238942,footway,unnamed,1,14
8096670781,4252843443,55.238678401159575,footway,unnamed,1,14
8096670781,4252843419,18.523962704064832,footway,unnamed,1,14
8096670781,4252843435,16.35525878537579,footway,unnamed,1,14
7050634342,7050634343,32.10430551642998,service,unnamed,1,12
7050634342,7050634343,56.23479002386925,service,unnamed,1,12
7050634342,7050634344,41.821455181326684,service,unnamed,1,12
7050634343,7050634344,10.588580007876143,service,unnamed,1,12
7050634343,7050634342,32.10430551642998,service,unnamed,1,12
7050634343,7050634342,56.23479002386925,service,unnamed,1,12
7050634344,1358732526,15.467117765480166,service,unnamed,1,10
7050634344,7050634343,10.588580007876143,service,unnamed,1,12
7050634344,7050634342,41.821455181326684,service,unnamed,1,12
10148717674,4146148475,25.94901909899875,residential,unnamed,1,8
10148717675,10148717676,23.175041071454878,residential,unnamed,1,8
10148717675,1374550420,175.03746468355607,residential,unnamed,1,12
10148717675,11021357124,59.06927811020563,residential,unnamed,1,8
10148717676,10148717675,23.175041071454878,residential,unnamed,1,8
5228569728,5228569730,179.5883022049867,tertiary_link,unnamed,1,4
5228569728,5228569761,65.60954978973511,tertiary,unnamed,2,7
5228569733,6189878326,18.965654845341792,tertiary,unnamed,2,6
5228569738,5228569728,47.69440020945141,tertiary,unnamed,2,6
267125891,268432069,23.891314607495104,motorway_link,unnamed,1,6
267125891,1564804660,137.02300470800415,secondary,unnamed,3,7
5228569750,6322678033,89.00050056386785,tertiary,Service Road,2,4
5228569759,11502427881,9.433240861494857,tertiary,unnamed,2,6
5228569759,1384175073,41.87331577619328,service,unnamed,1,7
5228569757,6322678288,43.790371881773396,tertiary,unnamed,2,6
5228569757,6322678031,46.101303578135855,tertiary,Service Road,2,6
5228569761,1648207137,14.89247195559776,tertiary,unnamed,2,8
5228569761,6618494658,85.08524907535678,service,unnamed,1,10
